pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
1st,1,female,53,0,0,PC 17606,27.4458008,,Cherbourg,6,NA,"Washington, DC"
1st,1,male,36,0,1,PC 17755,512.329224,B51 B53 B55,Cherbourg,3,NA,"Austria-Hungary / Germantown, P"
1st,1,female,58,0,1,PC 17755,512.329224,B51 B53 B55,Cherbourg,3,NA,"Germantown, Philadelphia, PA"
1st,0,male,33,0,0,695,5,B51 B53 B55,Southampton,,NA,"New York, NY"
1st,0,male,28,0,0,113059,47.0999985,,Southampton,,NA,"Montevideo, Uruguay"
1st,0,male,17,0,0,113059,47.0999985,,Southampton,,NA,"Montevideo, Uruguay"
1st,1,male,11,1,2,113760,120,B96 B98,Southampton,4,NA,"Bryn Mawr, PA"
1st,1,female,14,1,2,113760,120,B96 B98,Southampton,4,NA,"Bryn Mawr, PA"
1st,1,male,36,1,2,113760,120,B96 B98,Southampton,C,NA,"Bryn Mawr, PA"
1st,1,female,36,1,2,113760,120,B96 B98,Southampton,4,NA,"Bryn Mawr, PA"
1st,0,male,49,0,0,19924,26,,Southampton,,NA,"Ascot, Berkshire / Rochester, N"
1st,1,female,NA,0,0,17770,27.7208004,,Cherbourg,5,NA,"New York, NY"
1st,0,male,36,1,0,19877,78.8499985,C46,Southampton,,172,"Little Onn Hall, Staffs"
1st,1,female,76,1,0,19877,78.8499985,C46,Southampton,6,NA,"Little Onn Hall, Staffs"
1st,0,male,46,1,0,W.E.P. 5734,61.1749992,E31,Southampton,,NA,"Amenia, ND"
1st,1,female,47,1,0,W.E.P. 5734,61.1749992,E31,Southampton,4,NA,"Amenia, ND"
1st,1,male,27,1,0,113806,53.0999985,E8,Southampton,5,NA,"New York, NY / Ithaca, NY"
1st,1,female,33,1,0,113806,53.0999985,E8,Southampton,5,NA,"New York, NY / Ithaca, NY"
1st,1,female,36,0,0,PC 17608,262.375,B61,Cherbourg,4,NA,
1st,1,female,30,0,0,110152,86.5,B77,Southampton,8,NA,"London, England"
1st,1,male,45,0,0,PC 17594,29.7000008,A9,Cherbourg,7,NA,"Paris, France"
1st,1,female,NA,0,1,113505,55,E33,Southampton,6,NA,"St Leonards-on-Sea, England Ohi"
1st,0,male,NA,0,0,112051,0,,Southampton,,NA,"Liverpool, England / Belfast"
1st,0,male,27,1,0,13508,136.779205,C89,Cherbourg,,NA,"Los Angeles, CA"
1st,1,female,26,1,0,13508,136.779205,C89,Cherbourg,4,NA,"Los Angeles, CA"
1st,1,female,22,0,0,113781,151.550003,,Southampton,11,NA,
1st,0,male,NA,0,0,110465,52,A14,Southampton,,NA,"Stoughton, MA"
1st,0,male,47,0,0,5727,25.5874996,E58,Southampton,,NA,"Victoria, BC"
1st,1,female,39,1,1,PC 17756,83.1583023,E49,Cherbourg,14,NA,"Lakewood, NJ"
1st,0,male,37,1,1,PC 17756,83.1583023,E52,Cherbourg,,NA,"Lakewood, NJ"
1st,1,female,64,0,2,PC 17756,83.1583023,E45,Cherbourg,14,NA,"Lakewood, NJ"
1st,1,female,55,2,0,11770,25.7000008,C101,Southampton,2,NA,"New York, NY"
1st,0,male,NA,0,0,113791,26.5499992,,Southampton,,NA,"Roachdale, IN"
1st,0,male,70,1,1,WE/P 5735,71,B22,Southampton,,269,"Milwaukee, WI"
1st,1,female,36,0,2,WE/P 5735,71,B22,Southampton,7,NA,"Milwaukee, WI"
1st,1,female,64,1,1,112901,26.5499992,B26,Southampton,7,NA,"Milwaukee, WI"
1st,0,male,39,1,0,PC 17599,71.2833023,C85,Cherbourg,,NA,"New York, NY"
1st,1,female,38,1,0,PC 17599,71.2833023,C85,Cherbourg,4,NA,"New York, NY"
1st,1,male,51,0,0,113055,26.5499992,E17,Southampton,5 9,NA,"Lima, Peru"
1st,1,male,27,0,0,113804,30.5,,Southampton,3,NA,"Philadelphia, PA"
1st,1,female,33,0,0,113781,151.550003,,Southampton,8,NA,
1st,0,male,31,1,0,F.C. 12750,52,B71,Southampton,,NA,"Montreal, PQ"
1st,1,female,27,1,2,F.C. 12750,52,B71,Southampton,3,NA,"Montreal, PQ"
1st,1,male,31,1,0,17474,57,B20,Southampton,3,NA,"Calgary, AB"
1st,1,female,17,1,0,17474,57,B20,Southampton,3,NA,"Calgary, AB"
1st,1,male,53,1,1,33638,81.8582993,A34,Southampton,13,NA,"San Francisco, CA"
1st,1,male,4,0,2,33638,81.8582993,A34,Southampton,5,NA,"San Francisco, CA"
1st,1,female,54,1,1,33638,81.8582993,A34,Southampton,5,NA,"San Francisco, CA"
1st,0,male,50,1,0,PC 17761,106.425003,C86,Cherbourg,,62,"Deephaven, MN / Cedar Rapids, I"
1st,1,female,27,1,1,PC 17558,247.520798,B58 B60,Cherbourg,6,NA,"Montreal, PQ"
1st,1,female,48,1,0,PC 17761,106.425003,C86,Cherbourg,2,NA,"Deephaven, MN / Cedar Rapids, I"
1st,1,female,48,1,0,11755,39.5999985,A16,Cherbourg,1,NA,London / Paris
1st,1,male,49,1,0,PC 17485,56.9291992,A20,Cherbourg,1,NA,London / Paris
1st,0,male,39,0,0,PC 17580,29.7000008,A18,Cherbourg,,133,"Philadelphia, PA"
1st,1,female,23,0,1,11767,83.1583023,C54,Cherbourg,7,NA,"Mt Airy, Philadelphia, PA"
1st,1,female,38,0,0,PC 17757,227.524994,C45,Cherbourg,4,NA,"New York, NY"
1st,1,female,54,1,0,36947,78.2667007,D20,Cherbourg,4,NA,"Brookline, MA"
1st,0,female,36,0,0,PC 17531,31.6791992,A29,Cherbourg,,NA,"New York, NY"
1st,0,male,NA,0,0,PC 17483,221.779205,C95,Southampton,,NA,
1st,1,female,NA,0,0,PC 17598,31.6833,,Southampton,7,NA,"New York, NY"
1st,1,female,NA,0,0,17421,110.883301,,Cherbourg,4,NA,
1st,1,male,36,0,0,PC 17474,26.3875008,E25,Southampton,5,NA,"Brooklyn, NY"
1st,0,male,30,0,0,113051,27.75,C111,Cherbourg,,NA,"New York, NY"
1st,1,female,24,3,2,19950,263,C23 C25 C27,Southampton,10,NA,"Winnipeg, MB"
1st,1,female,28,3,2,19950,263,C23 C25 C27,Southampton,10,NA,"Winnipeg, MB"
1st,1,female,23,3,2,19950,263,C23 C25 C27,Southampton,10,NA,"Winnipeg, MB"
1st,0,male,19,3,2,19950,263,C23 C25 C27,Southampton,,NA,"Winnipeg, MB"
1st,0,male,64,1,4,19950,263,C23 C25 C27,Southampton,,NA,"Winnipeg, MB"
1st,1,female,60,1,4,19950,263,C23 C25 C27,Southampton,10,NA,"Winnipeg, MB"
1st,1,female,30,0,0,PC 17485,56.9291992,E36,Cherbourg,1,NA,
1st,0,male,NA,0,0,113778,26.5499992,D34,Southampton,,NA,"Westcliff-on-Sea, Essex"
1st,1,male,50,2,0,PC 17611,133.649994,,Southampton,5,NA,"New York, NY"
1st,1,male,43,1,0,17765,27.7208004,D40,Cherbourg,5,NA,"New York, NY"
1st,1,female,NA,1,0,PC 17611,133.649994,,Southampton,5,NA,"New York, NY"
1st,1,female,22,0,2,13568,49.5,B39,Cherbourg,5,NA,"Zurich, Switzerland"
1st,1,male,60,1,1,13567,79.1999969,B41,Cherbourg,5,NA,"Zurich, Switzerland"
1st,1,female,48,1,1,13567,79.1999969,B41,Cherbourg,5,NA,"Zurich, Switzerland"
1st,0,male,NA,0,0,112058,0,B102,Southampton,,NA,
1st,0,male,37,1,0,113803,53.0999985,C123,Southampton,,NA,"Scituate, MA"
1st,1,female,35,1,0,113803,53.0999985,C123,Southampton,D,NA,"Scituate, MA"
1st,0,male,47,0,0,111320,38.5,E63,Southampton,,275,"St Anne's-on-Sea, Lancashire"
1st,1,female,35,0,0,113503,211.5,C130,Cherbourg,4,NA,
1st,1,female,22,0,1,112378,59.4000015,,Cherbourg,7,NA,"New York, NY"
1st,1,female,45,0,1,112378,59.4000015,,Cherbourg,7,NA,"New York, NY"
1st,0,male,24,0,0,PC 17593,79.1999969,B86,Cherbourg,,NA,
1st,1,male,49,1,0,17453,89.1042023,C92,Cherbourg,5,NA,"Paris, France / New York, NY"
1st,1,female,NA,1,0,17453,89.1042023,C92,Cherbourg,5,NA,"Paris, France / New York, NY"
1st,0,male,71,0,0,PC 17754,34.6542015,A5,Cherbourg,,NA,"New York, NY"
1st,1,male,53,0,0,113780,28.5,C51,Cherbourg,B,NA,"Washington, DC"
1st,1,female,19,0,0,112053,30,B42,Southampton,3,NA,"Greenwich, CT"
1st,0,male,38,0,1,PC 17582,153.462494,C91,Southampton,,147,"Winnipeg, MB"
1st,1,female,58,0,1,PC 17582,153.462494,C125,Southampton,3,NA,"Greenwich, CT"
1st,1,male,23,0,1,PC 17759,63.3582993,D10 D12,Cherbourg,7,NA,"New York, NY"
1st,1,female,45,0,1,PC 17759,63.3582993,D10 D12,Cherbourg,7,NA,"New York, NY"
1st,0,male,46,0,0,PC 17593,79.1999969,B82 B84,Cherbourg,,NA,"New York, NY"
1st,1,male,25,1,0,11765,55.4417,E50,Cherbourg,5,NA,"Brooklyn, NY"
1st,1,female,25,1,0,11765,55.4417,E50,Cherbourg,5,NA,"Brooklyn, NY"
1st,1,male,48,1,0,PC 17572,76.7292023,D33,Cherbourg,3,NA,"New York, NY"
1st,1,female,49,1,0,PC 17572,76.7292023,D33,Cherbourg,3,NA,"New York, NY"
1st,0,male,NA,0,0,113796,42.4000015,,Southampton,,NA,
1st,0,male,45,1,0,36973,83.4749985,C83,Southampton,,NA,"New York, NY"
1st,1,female,35,1,0,36973,83.4749985,C83,Southampton,D,NA,"New York, NY"
1st,0,male,40,0,0,112059,0,B94,Southampton,,110,
1st,1,male,27,0,0,PC 17572,76.7292023,D49,Cherbourg,3,NA,
1st,1,male,NA,0,0,16988,30,D45,Southampton,3,NA,"Kingston, Surrey"
1st,1,female,24,0,0,11767,83.1583023,C54,Cherbourg,7,NA,"New York, NY"
1st,0,male,55,1,1,12749,93.5,B69,Southampton,,307,"Montreal, PQ"
1st,1,female,52,1,1,12749,93.5,B69,Southampton,3,NA,"Montreal, PQ"
1st,0,male,42,0,0,113038,42.5,B11,Southampton,,NA,London / Middlesex
1st,0,male,NA,0,0,17463,51.8624992,E46,Southampton,,NA,"Brighton, MA"
1st,0,male,55,0,0,680,50,C39,Southampton,,NA,London / Birmingham
1st,1,female,16,0,1,111361,57.9791985,B18,Cherbourg,4,NA,"Chicago, IL"
1st,1,female,44,0,1,111361,57.9791985,B18,Cherbourg,4,NA,"Chicago, IL"
1st,1,female,51,1,0,13502,77.9582977,D11,Southampton,10,NA,"Hudson, NY"
1st,0,male,42,1,0,113789,52,,Southampton,,38,"New York, NY"
1st,1,female,35,1,0,113789,52,,Southampton,8,NA,"New York, NY"
1st,1,male,35,0,0,111426,26.5499992,,Cherbourg,15,NA,"Indianapolis, IN"
1st,1,male,38,1,0,19943,90,C93,Southampton,D,NA,"New York, NY /  Stamford CT"
1st,0,male,NA,0,0,PC 17600,30.6958008,,Cherbourg,14,NA,"New York, NY"
1st,1,female,35,1,0,19943,90,C93,Southampton,D,NA,"New York, NY /  Stamford CT"
1st,1,female,38,0,0,113572,80,B28,NA,6,NA,
1st,0,female,50,0,0,PC 17595,28.7124996,C49,Cherbourg,,NA,"Paris, France New York, NY"
1st,1,male,49,0,0,112058,0,B52 B54 B56,Southampton,C,NA,Liverpool
1st,0,male,46,0,0,694,26,,Southampton,,80,"Bennington, VT"
1st,0,male,50,0,0,113044,26,E60,Southampton,,NA,London
1st,0,male,32.5,0,0,113503,211.5,C132,Cherbourg,,45,
1st,0,male,58,0,0,11771,29.7000008,B37,Cherbourg,,258,"Buffalo, NY"
1st,0,male,41,1,0,17464,51.8624992,D21,Southampton,,NA,"Southington / Noank, CT"
1st,1,female,NA,1,0,17464,51.8624992,D21,Southampton,8,NA,"Southington / Noank, CT"
1st,1,male,42,1,0,11753,52.5541992,D19,Southampton,5,NA,"Boston, MA"
1st,1,female,45,1,0,11753,52.5541992,D19,Southampton,5,NA,"Boston, MA"
1st,0,male,NA,0,0,113028,26.5499992,C124,Southampton,,NA,"Portland, OR"
1st,1,female,39,0,0,24160,211.337494,,Southampton,2,NA,
1st,1,female,49,0,0,17465,25.9291992,D17,Southampton,8,NA,"New York, NY"
1st,1,female,30,0,0,PC 17761,106.425003,,Cherbourg,2,NA,
1st,1,male,35,0,0,PC 17755,512.329224,B101,Cherbourg,3,NA,
1st,0,male,NA,0,0,PC 17612,27.7208004,,Cherbourg,,NA,"Chicago, IL"
1st,0,male,42,0,0,17475,26.5499992,,Southampton,,NA,"Stockholm, Sweden"
1st,1,female,55,0,0,112377,27.7208004,,Cherbourg,6,NA,"Stockholm, Sweden"
1st,1,female,16,0,1,PC 17592,39.4000015,D28,Southampton,9,NA,"Paris, France"
1st,1,female,51,0,1,PC 17592,39.4000015,D28,Southampton,9,NA,"Paris, France"
1st,0,male,29,0,0,113501,30,D6,Southampton,,126,"Springfield, MA"
1st,1,female,21,0,0,13502,77.9582977,D9,Southampton,10,NA,"Hudson, NY"
1st,0,male,30,0,0,113801,45.5,,Southampton,,NA,"London / New York, NY"
1st,1,female,58,0,0,PC 17569,146.520798,B80,Cherbourg,,NA,
1st,1,female,15,0,1,24160,211.337494,B5,Southampton,2,NA,"St Louis, MO"
1st,0,male,30,0,0,110469,26,C106,Southampton,,NA,"Brockton, MA"
1st,1,female,16,0,0,110152,86.5,B79,Southampton,8,NA,
1st,1,male,NA,0,0,11774,29.7000008,C47,Cherbourg,7,NA,"Paris, France"
1st,0,male,19,1,0,113773,53.0999985,D30,Southampton,,NA,"New York, NY"
1st,1,female,18,1,0,113773,53.0999985,D30,Southampton,10,NA,"New York, NY"
1st,1,female,24,0,0,PC 17482,49.5042,C90,Cherbourg,6,NA,"Belgium  Montreal, PQ"
1st,0,male,46,0,0,13050,75.2416992,C6,Cherbourg,,292,"Vancouver, BC"
1st,0,male,54,0,0,17463,51.8624992,E46,Southampton,,175,"Dorchester, MA"
1st,1,male,36,0,0,PC 17473,26.2875004,E25,Southampton,7,NA,"Philadelphia, PA"
1st,0,male,28,1,0,PC 17604,82.1707993,,Cherbourg,,NA,"New York, NY"
1st,1,female,NA,1,0,PC 17604,82.1707993,,Cherbourg,6,NA,"New York, NY"
1st,0,male,65,0,0,13509,26.5499992,E38,Southampton,,249,"East Bridgewater, MA"
1st,0,male,44,2,0,19928,90,C78,Queenstown,,230,"Fond du Lac, WI"
1st,1,female,33,1,0,19928,90,C78,Queenstown,14,NA,"Green Bay, WI"
1st,1,female,37,1,0,19928,90,C78,Queenstown,14,NA,"Fond du Lac, WI"
1st,1,male,30,1,0,13236,57.75,C78,Cherbourg,11,NA,"New York, NY"
1st,0,male,55,0,0,113787,30.5,C30,Southampton,,NA,"Montreal, PQ"
1st,0,male,47,0,0,113796,42.4000015,,Southampton,,NA,"Washington, DC"
1st,0,male,37,0,1,PC 17596,29.7000008,C118,Cherbourg,,NA,"Brooklyn, NY"
1st,1,female,31,1,0,35273,113.275002,D36,Cherbourg,6,NA,"Lexington, MA"
1st,1,female,23,1,0,35273,113.275002,D36,Cherbourg,6,NA,"Lexington, MA"
1st,0,male,58,0,2,35273,113.275002,D48,Cherbourg,,122,"Lexington, MA"
1st,1,female,19,0,2,11752,26.2833004,D47,Southampton,5,NA,"New York, NY"
1st,0,male,64,0,0,693,26,,Southampton,,263,"Isle of Wight, England"
1st,1,female,39,0,0,PC 17758,108.900002,C105,Cherbourg,8,NA,
1st,1,male,NA,0,0,F.C. 12998,25.7416992,,Cherbourg,7,NA,"Paris, France"
1st,1,female,22,0,1,113509,61.9791985,B36,Cherbourg,5,NA,"Providence, RI"
1st,0,male,65,0,1,113509,61.9791985,B30,Cherbourg,,234,"Providence, RI"
1st,0,male,28.5,0,0,PC 17562,27.7208004,D43,Cherbourg,,189,"?Havana, Cuba"
1st,0,male,NA,0,0,112052,0,,Southampton,,NA,Belfast
1st,0,male,45.5,0,0,113043,28.5,C124,Southampton,,166,"Surbiton Hill, Surrey"
1st,0,male,23,0,0,12749,93.5,B24,Southampton,,NA,"Montreal, PQ"
1st,0,male,29,1,0,113776,66.5999985,C2,Southampton,,NA,"Isleworth, England"
1st,1,female,22,1,0,113776,66.5999985,C2,Southampton,8,NA,"Isleworth, England"
1st,0,male,18,1,0,PC 17758,108.900002,C65,Cherbourg,,NA,"Madrid, Spain"
1st,1,female,17,1,0,PC 17758,108.900002,C65,Cherbourg,8,NA,"Madrid, Spain"
1st,1,female,30,0,0,12749,93.5,B73,Southampton,3,NA,
1st,1,male,52,0,0,113786,30.5,C104,Southampton,6,NA,"Toronto, ON"
1st,0,male,47,0,0,110465,52,C110,Southampton,,207,"Worcester, MA"
1st,1,female,56,0,1,11767,83.1583023,C50,Cherbourg,7,NA,"Mt Airy, Philadelphia, PA"
1st,0,male,38,0,0,19972,0,,Southampton,,NA,"Rotterdam, Netherlands"
1st,1,male,NA,0,0,PC 17607,39.5999985,,Southampton,A,NA,"Paris /  New York, NY"
1st,0,male,22,0,0,PC 17760,135.633301,,Cherbourg,,232,
1st,0,male,NA,0,0,PC 17757,227.524994,,Cherbourg,,NA,
1st,1,female,43,0,1,24160,211.337494,B3,Southampton,2,NA,"St Louis, MO"
1st,0,male,31,0,0,PC 17590,50.4958,A24,Southampton,,NA,"Trenton, NJ"
1st,1,male,45,0,0,111428,26.5499992,,Southampton,9,NA,"New York, NY"
1st,0,male,NA,0,0,113767,50,A32,Southampton,,NA,"Seattle, WA"
1st,1,female,33,0,0,PC 17613,27.7208004,A11,Cherbourg,11,NA,"Paris, France"
1st,0,male,46,0,0,PC 17585,79.1999969,,Cherbourg,,16,"New York, NY"
1st,0,male,36,0,0,13049,40.125,A10,Cherbourg,,NA,"Winnipeg, MB"
1st,1,female,33,0,0,110152,86.5,B77,Southampton,8,NA,"London  Vancouver, BC"
1st,0,male,55,1,0,PC 17603,59.4000015,,Cherbourg,,NA,"New York, NY"
1st,1,female,54,1,0,PC 17603,59.4000015,,Cherbourg,6,NA,"New York, NY"
1st,0,male,33,0,0,113790,26.5499992,,Southampton,,109,London
1st,1,male,13,2,2,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,4,NA,"Haverford, PA / Cooperstown, NY"
1st,1,female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,4,NA,"Haverford, PA / Cooperstown, NY"
1st,1,female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,4,NA,"Haverford, PA / Cooperstown, NY"
1st,0,male,61,1,3,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,,NA,"Haverford, PA / Cooperstown, NY"
1st,1,female,48,1,3,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,4,NA,"Haverford, PA / Cooperstown, NY"
1st,1,male,NA,0,0,19988,30.5,C106,Southampton,3,NA,"Manchester, England"
1st,1,female,24,0,0,PC 17477,69.3000031,B35,Cherbourg,9,NA,
1st,1,male,NA,0,0,111163,26,,Southampton,1,NA,"New York, NY"
1st,1,female,35,1,0,13236,57.75,C28,Cherbourg,11,NA,"New York, NY"
1st,1,female,30,0,0,113798,31,,Cherbourg,4,NA,
1st,1,male,34,0,0,113794,26.5499992,,Southampton,7,NA,"New York, NY"
1st,1,female,40,0,0,PC 17582,153.462494,C125,Southampton,3,NA,"New York, NY / Greenwich CT"
1st,1,male,35,0,0,PC 17475,26.2875004,E24,Southampton,5,NA,"St Louis, MO"
1st,0,male,50,1,0,13507,55.9000015,E44,Southampton,,NA,"Duluth, MN"
1st,1,female,39,1,0,13507,55.9000015,E44,Southampton,11,NA,"Duluth, MN"
1st,1,male,56,0,0,13213,35.5,A26,Cherbourg,3,NA,"Basel, Switzerland"
1st,1,male,28,0,0,113788,35.5,A6,Southampton,7,NA,"New Britain, CT"
1st,0,male,56,0,0,113792,26.5499992,,Southampton,,NA,"New York, NY"
1st,0,male,56,0,0,17764,30.6958008,A7,Cherbourg,,NA,"St James, Long Island, NY"
1st,0,male,24,1,0,13695,60,C31,Southampton,,NA,"Huntington, WV"
1st,0,male,NA,0,0,113056,26,A19,Southampton,,NA,"Streatham, Surrey"
1st,1,female,18,1,0,13695,60,C31,Southampton,6,NA,"Huntington, WV"
1st,1,male,24,1,0,21228,82.2667007,B45,Southampton,7,NA,"Minneapolis, MN"
1st,1,female,23,1,0,21228,82.2667007,B45,Southampton,7,NA,"Minneapolis, MN"
1st,1,male,6,0,2,16966,134.5,E34,Cherbourg,3,NA,"Tuxedo Park, NY"
1st,1,male,45,1,1,16966,134.5,E34,Cherbourg,3,NA,"Tuxedo Park, NY"
1st,1,female,40,1,1,16966,134.5,E34,Cherbourg,3,NA,"Tuxedo Park, NY"
1st,0,male,57,1,0,PC 17569,146.520798,B78,Cherbourg,,NA,"Paris, France"
1st,1,female,NA,1,0,PC 17569,146.520798,B78,Cherbourg,6,NA,"Paris, France"
1st,1,male,32,0,0,13214,30.5,B50,Cherbourg,3,NA,"Basel, Switzerland"
1st,0,male,62,0,0,113514,26.5499992,C87,Southampton,,NA,"Wimbledon Park, London / Haylin"
1st,1,male,54,1,0,11778,55.4417,C116,Cherbourg,1,NA,"Newark, NJ"
1st,1,female,43,1,0,11778,55.4417,C116,Cherbourg,5,NA,"Newark, NJ"
1st,1,female,52,1,0,36947,78.2667007,D20,Cherbourg,4,NA,"Haverford, PA"
1st,0,male,NA,0,0,PC 17605,27.7208004,,Cherbourg,,NA,"Gallipolis, Ohio / ? Paris / Ne"
1st,1,female,62,0,0,113572,80,B28,NA,6,NA,"Cincinatti, OH"
1st,0,male,67,1,0,PC 17483,221.779205,C55 C57,Southampton,,96,"New York, NY"
1st,0,female,63,1,0,PC 17483,221.779205,C55 C57,Southampton,,NA,"New York, NY"
1st,0,male,61,0,0,36963,32.3208008,D50,Southampton,,46,"Haddenfield, NJ"
1st,1,female,48,0,0,17466,25.9291992,D17,Southampton,8,NA,"Brooklyn, NY"
1st,1,female,18,0,2,110413,79.6500015,E68,Southampton,8,NA,"New York, NY"
1st,0,male,52,1,1,110413,79.6500015,E67,Southampton,,NA,"New York, NY"
1st,1,female,39,1,1,110413,79.6500015,E67,Southampton,8,NA,"New York, NY"
1st,1,male,48,1,0,19996,52,C126,Southampton,5 7,NA,"London /  East Orange, NJ"
1st,1,female,NA,1,0,19996,52,C126,Southampton,5 7,NA,"London /  East Orange, NJ"
1st,0,male,49,1,1,17421,110.883301,C68,Cherbourg,,NA,"Haverford, PA"
1st,1,male,17,0,2,17421,110.883301,C70,Cherbourg,B,NA,"Haverford, PA"
1st,1,female,39,1,1,17421,110.883301,C68,Cherbourg,4,NA,"Haverford, PA"
1st,1,female,NA,0,0,PC 17585,79.1999969,,Cherbourg,D,NA,"New York, NY"
1st,1,male,31,0,0,2543,28.5375004,C53,Cherbourg,7,NA,"Albany, NY"
1st,0,male,40,0,0,PC 17601,27.7208004,,Cherbourg,,NA,"Mexico City, Mexico"
1st,0,male,61,0,0,111240,33.5,B19,Southampton,,245,"Brooklyn, NY"
1st,0,male,47,0,0,36967,34.0208015,D46,Southampton,,NA,"East Orange, NJ"
1st,1,female,35,0,0,PC 17755,512.329224,,Cherbourg,3,NA,
1st,0,male,64,1,0,110813,75.25,D37,Cherbourg,,NA,"Portland, OR"
1st,1,female,60,1,0,110813,75.25,D37,Cherbourg,5,NA,"Portland, OR"
